dataset,model,fold,train_rows,test_rows,train_start,test_start,test_end,elapsed_s,accuracy,f1_macro,auc_roc,sharpe_proxy,max_drawdown
dataset_90day_lookback,RF,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.17,0.5038461538461538,0.4787959783064754,0.5023668639053255,0.6706871114705947,-0.0635468608965456
dataset_90day_lookback,RF,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.17,0.5172413793103449,0.4106451612903226,0.463061152350654,0.0855377677837769,-0.0683546489680947
dataset_90day_lookback,XGB,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.12,0.5210727969348659,0.521044673135928,0.5504137115839243,0.6467942418306096,-0.0793710885553928
dataset_90day_lookback,XGB,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.09,0.5534351145038168,0.5422248107163657,0.5911592505854801,-0.5761375149456555,-0.084636235632038
dataset_90day_lookback,XGB,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.09,0.5747126436781609,0.5740874141809147,0.6128785200895488,-0.5522999493965366,-0.0694244759728081
dataset_90day_lookback,XGB,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.09,0.5653846153846154,0.5553806807003738,0.5889777777777778,-0.5681908592762258,-0.1959208713926
dataset_90day_lookback,XGB,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.09,0.5576923076923077,0.5547878914218496,0.5694674556213017,1.1023958865135313,-0.0366562052810441
dataset_90day_lookback,XGB,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.09,0.5325670498084292,0.5267241379310346,0.6016260162601625,-0.2133618478609,-0.032966522496939
dataset_90day_lookback,MLP,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.12,0.524904214559387,0.515160594439118,0.5479314420803783,0.915879284011487,-0.0558709683247312
dataset_90day_lookback,MLP,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.09,0.4885496183206106,0.4878034547152194,0.4876463700234192,0.8678158348678264,-0.0507822606300514
dataset_90day_lookback,MLP,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.1,0.4712643678160919,0.3203125,0.5837162719453282,-0.1886990668898531,-0.0741513001091416
dataset_90day_lookback,MLP,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.09,0.5307692307692308,0.504375,0.4906074074074074,-1.7482000034062246,-0.1595545239876765
dataset_90day_lookback,MLP,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.09,0.4923076923076923,0.3911007025761124,0.5584023668639053,0.2601027176150878,-0.0866654334630131
dataset_90day_lookback,MLP,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.09,0.5708812260536399,0.5344629889157855,0.5850123718628489,-0.5077661315224186,-0.0721189072501655
dataset_90day_lookback,KNN,1,1213,261,2014-05-08,2019-01-01,2019-12-31,1.9,0.4865900383141762,0.486522198731501,0.4777777777777778,0.4349880341106078,-0.0634847545234685
dataset_90day_lookback,KNN,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.26,0.4961832061068702,0.4959188432835821,0.4721896955503513,-0.5299460935527759,-0.0790192419555536
dataset_90day_lookback,KNN,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.31,0.4444444444444444,0.3395864235232527,0.4828561329091552,-0.3182357893926425,-0.0847904343458137
dataset_90day_lookback,KNN,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.34,0.4576923076923077,0.4303118832652173,0.4475555555555556,-1.123002063349951,-0.1828073046177391
dataset_90day_lookback,KNN,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.38,0.5,0.3646616541353383,0.5407396449704143,0.2636217567062788,-0.0841566705820379
dataset_90day_lookback,KNN,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.42,0.4904214559386973,0.487986194079384,0.4863909508660304,-0.1817376589453966,-0.0429846276750161
dataset_90day_lookback,DT,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.08,0.4942528735632184,0.4342485549132948,0.4710992907801418,2.00514879007506,-0.0192823967738565
dataset_90day_lookback,DT,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.06,0.5076335877862596,0.5006427020078897,0.5018735362997658,-0.3148344991302191,-0.1092073996339065
dataset_90day_lookback,DT,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.06,0.5095785440613027,0.4931423716470445,0.5008837044892188,0.2641393315457492,-0.0379721008450218
dataset_90day_lookback,DT,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.06,0.4576923076923077,0.4567198684035033,0.4567407407407407,-0.020614060249765,-0.0887161674788854
dataset_90day_lookback,DT,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.06,0.55,0.5499400807799855,0.5499999999999999,0.3704973720136451,-0.039788348921475
dataset_90day_lookback,DT,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.06,0.4789272030651341,0.4528301886792453,0.4931071049840932,-1.227873041045902,-0.0479147740445844
dataset_90day_lookback,ET,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.17,0.4712643678160919,0.4712566059894304,0.4754137115839243,-0.5555284855508839,-0.0755667476434547
dataset_90day_lookback,ET,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.18,0.4923664122137404,0.4568466993998908,0.4716627634660421,0.0656012551510899,-0.1430893662363454
dataset_90day_lookback,ET,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.19,0.4712643678160919,0.4519476567255021,0.5398845292800755,-0.1035367267280694,-0.0550283846515041
dataset_90day_lookback,ET,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.23,0.5461538461538461,0.545185009487666,0.5195555555555555,0.1131914915955612,-0.1198299175288591
dataset_90day_lookback,ET,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.19,0.5423076923076923,0.4931109618440669,0.5635207100591716,0.533848957069904,-0.0651676723135476
dataset_90day_lookback,ET,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.19,0.4942528735632184,0.4538363982244768,0.5249793802285849,0.6786589572479409,-0.0163623413935043
dataset_90day_lookback,HGB,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.29,0.5134099616858238,0.5068951666889812,0.5127659574468085,0.6802096390858061,-0.0639741087571324
dataset_90day_lookback,HGB,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.29,0.4809160305343511,0.4730553090801538,0.5328454332552693,0.8139204741507986,-0.025024551343568
dataset_90day_lookback,HGB,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.29,0.5517241379310345,0.5510651122447479,0.5711087545658065,-0.36559574957677,-0.0712278951983289
dataset_90day_lookback,HGB,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.29,0.6,0.595959595959596,0.6280888888888888,-0.2371721651230452,-0.1821738713877123
dataset_90day_lookback,HGB,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.28,0.5384615384615384,0.5313626532083634,0.5742011834319527,0.0554794280914498,-0.0524703690638726
dataset_90day_lookback,HGB,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.29,0.5823754789272031,0.5751661315612634,0.5934959349593496,0.2394870131672413,-0.0267146631152107
dataset_90day_lookback,CatBoost,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.59,0.5363984674329502,0.5354163908380776,0.5445035460992907,0.724540576900172,-0.0428918286847356
dataset_90day_lookback,CatBoost,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.11,0.5190839694656488,0.5180729927007299,0.5436768149882905,-0.2815128775811846,-0.1074820652941102
dataset_90day_lookback,CatBoost,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.11,0.5440613026819924,0.5439541883855811,0.5391186520560858,-0.353437632353986,-0.0516538440893035
dataset_90day_lookback,CatBoost,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.11,0.6038461538461538,0.6001493094438224,0.640237037037037,0.5349039631559519,-0.1047510949872754
dataset_90day_lookback,CatBoost,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.11,0.5769230769230769,0.5704157654409998,0.6041420118343196,1.2430015781354904,-0.0402176180862626
dataset_90day_lookback,CatBoost,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.11,0.6206896551724138,0.6203329561984807,0.6549428537763639,-0.0463971864488653,-0.0254141747391989
dataset_90day_lookback,Bagging_DT,1,1213,261,2014-05-08,2019-01-01,2019-12-31,4.45,0.5019157088122606,0.5018498942917548,0.5170212765957446,0.6153695478850091,-0.1073746879077909
dataset_90day_lookback,Bagging_DT,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.82,0.5229007633587787,0.5109239430730403,0.563056206088993,1.2346523948343635,-0.0425503903657232
dataset_90day_lookback,Bagging_DT,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.82,0.5134099616858238,0.5123791870779822,0.566749145752327,0.318394470040976,-0.0392278887765133
dataset_90day_lookback,Bagging_DT,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.81,0.5115384615384615,0.5113577506474287,0.575762962962963,0.0098499795378755,-0.1471029297929126
dataset_90day_lookback,Bagging_DT,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.82,0.6,0.5999763299603527,0.6152662721893492,0.8280278411140438,-0.0267490684316571
dataset_90day_lookback,Bagging_DT,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.81,0.5517241379310345,0.5439856641529157,0.643219040886061,-0.945155309788213,-0.0492621047238371
dataset_90day_lookback,Bagging_LR,1,1213,261,2014-05-08,2019-01-01,2019-12-31,41.55,0.5440613026819924,0.543391011599359,0.5389479905437353,0.1329773370727159,-0.0722014493103784
dataset_90day_lookback,Bagging_LR,2,1474,262,2014-05-08,2020-01-01,2020-12-31,75.83,0.5152671755725191,0.4791415556564344,0.5122950819672132,0.3794622018424481,-0.0841835928324674
dataset_90day_lookback,Bagging_LR,3,1736,261,2014-05-08,2021-01-01,2021-12-31,77.82,0.5517241379310345,0.551618823874899,0.556910569105691,-0.4369497214024821,-0.0661704195642116
dataset_90day_lookback,Bagging_LR,4,1997,260,2014-05-08,2022-01-03,2022-12-30,108.57,0.473076923076923,0.4031401330451247,0.5454222222222223,-0.7000698050915781,-0.2124254305079925
dataset_90day_lookback,Bagging_LR,5,2257,260,2014-05-08,2023-01-02,2023-12-29,143.22,0.4884615384615384,0.4679918152586963,0.4805325443786982,-0.4715532770399067,-0.0414581032075864
dataset_90day_lookback,Bagging_LR,final,2517,261,2014-05-08,2024-01-01,2024-12-30,185.23,0.5172413793103449,0.5073406040268457,0.5536703193118888,-0.2230340092203138,-0.091534921667529
dataset_technical,LR,1,1213,261,2014-05-08,2019-01-01,2019-12-31,18.75,0.6398467432950191,0.6394179894179894,0.7209810874704491,-0.8499999310662189,-0.1066735669578564
dataset_technical,LR,2,1474,262,2014-05-08,2020-01-01,2020-12-31,22.78,0.6679389312977099,0.617672218588034,0.8498829039812646,-0.11398111360630642,-0.11796044380139964
dataset_technical,LR,3,1736,261,2014-05-08,2021-01-01,2021-12-31,27.23,0.685823754789272,0.6847826086956521,0.7323553670319312,-0.7576929733556315,-0.0810778358735092
dataset_technical,LR,4,1997,260,2014-05-08,2022-01-03,2022-12-30,31.88,0.7115384615384616,0.7092633179764727,0.7930074074074074,-3.527950223569759,-0.2552452947973157
