date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2018-02-06,247.963,25.0,104.6,26,2.129930719552253,25.0,3.155818540433919,26.0,1.1492479046366875
2018-02-07,247.963,26.0,104.6,27,2.129930719552253,26.0,3.155818540433919,27.0,1.1492479046366875
2018-02-08,247.963,27.0,104.6,28,2.129930719552253,27.0,3.155818540433919,28.0,1.1492479046366875
2018-02-09,247.963,28.0,104.6,29,2.129930719552253,28.0,3.155818540433919,29.0,1.1492479046366875
2018-02-12,247.963,31.0,104.9,1,2.129930719552253,31.0,2.944062806673209,1.0,1.0797905344275218
2018-02-13,247.963,32.0,104.9,2,2.129930719552253,32.0,2.944062806673209,2.0,1.0797905344275218
2018-02-14,237.827,0.0,104.9,3,2.151318868063945,0.0,2.944062806673209,3.0,1.0797905344275218
2018-02-15,237.827,1.0,104.9,4,2.151318868063945,1.0,2.944062806673209,4.0,1.0797905344275218
2018-02-16,237.827,2.0,104.9,5,2.151318868063945,2.0,2.944062806673209,5.0,1.0797905344275218
2018-02-19,237.827,5.0,104.9,8,2.151318868063945,5.0,2.944062806673209,8.0,1.0797905344275218
2018-02-20,237.827,6.0,104.9,9,2.151318868063945,6.0,2.944062806673209,9.0,1.0797905344275218
2018-02-21,237.827,7.0,104.9,10,2.151318868063945,7.0,2.944062806673209,10.0,1.0797905344275218
2018-02-22,237.827,8.0,104.9,11,2.151318868063945,8.0,2.944062806673209,11.0,1.0797905344275218
2018-02-23,237.827,9.0,104.9,12,2.151318868063945,9.0,2.944062806673209,12.0,1.0797905344275218
2018-02-26,237.827,12.0,104.9,15,2.151318868063945,12.0,2.944062806673209,15.0,1.0797905344275218
2018-02-27,237.827,13.0,104.9,16,2.151318868063945,13.0,2.944062806673209,16.0,1.0797905344275218
2018-02-28,237.827,14.0,104.9,17,2.151318868063945,14.0,2.944062806673209,17.0,1.0797905344275218
2018-03-01,237.827,15.0,104.9,18,2.151318868063945,15.0,2.944062806673209,18.0,1.0797905344275218
2018-03-02,237.827,16.0,104.9,19,2.151318868063945,16.0,2.944062806673209,19.0,1.0797905344275218
