date,USA_central_bank_rate_value,USA_central_bank_rate_days_since_update,UK_central_bank_rate_value,UK_central_bank_rate_days_since_update,UK_central_bank_rate_value_sqrt,USA_central_bank_rate_value_sqrt
2022-01-13,0.08,0.0,0.0468,34.0,0.21633307652783937,0.282842712474619
2022-01-14,0.08,0.0,0.0468,35.0,0.21633307652783937,0.282842712474619
2022-01-17,0.08,3.0,0.0468,38.0,0.21633307652783937,0.282842712474619
2022-01-18,0.08,0.0,0.11,0.0,0.33166247903553997,0.282842712474619
2022-01-19,0.08,0.0,0.11,1.0,0.33166247903553997,0.282842712474619
2022-01-20,0.08,0.0,0.11,2.0,0.33166247903553997,0.282842712474619
2022-01-21,0.08,0.0,0.11,3.0,0.33166247903553997,0.282842712474619
2022-01-24,0.08,0.0,0.11,6.0,0.33166247903553997,0.282842712474619
2022-01-25,0.08,0.0,0.11,7.0,0.33166247903553997,0.282842712474619
2022-01-26,0.08,0.0,0.11,8.0,0.33166247903553997,0.282842712474619
2022-01-27,0.08,0.0,0.11,9.0,0.33166247903553997,0.282842712474619
2022-01-28,0.08,0.0,0.11,10.0,0.33166247903553997,0.282842712474619
2022-01-31,0.08,0.0,0.11,13.0,0.33166247903553997,0.282842712474619
2022-02-01,0.08,0.0,0.11,14.0,0.33166247903553997,0.282842712474619
2022-02-02,0.08,0.0,0.11,15.0,0.33166247903553997,0.282842712474619
2022-02-03,0.08,0.0,0.11,16.0,0.33166247903553997,0.282842712474619
2022-02-04,0.08,0.0,0.11,17.0,0.33166247903553997,0.282842712474619
2022-02-07,0.08,0.0,0.11,20.0,0.33166247903553997,0.282842712474619
2022-02-08,0.08,0.0,0.11,21.0,0.33166247903553997,0.282842712474619
2022-02-09,0.08,0.0,0.11,22.0,0.33166247903553997,0.282842712474619
2022-02-10,0.08,0.0,0.11,23.0,0.33166247903553997,0.282842712474619
2022-02-11,0.08,0.0,0.11,24.0,0.33166247903553997,0.282842712474619
2022-02-14,0.08,0.0,0.11,27.0,0.33166247903553997,0.282842712474619
2022-02-15,0.08,0.0,0.11,28.0,0.33166247903553997,0.282842712474619
2022-02-16,0.08,0.0,0.11,29.0,0.33166247903553997,0.282842712474619
2022-02-17,0.08,0.0,0.11,30.0,0.33166247903553997,0.282842712474619
2022-02-18,0.08,0.0,0.11,31.0,0.33166247903553997,0.282842712474619
2022-02-21,0.08,3.0,0.11,34.0,0.33166247903553997,0.282842712474619
2022-02-22,0.08,0.0,0.11,35.0,0.33166247903553997,0.282842712474619
2022-02-23,0.08,0.0,0.11,36.0,0.33166247903553997,0.282842712474619
2022-02-24,0.08,0.0,0.11,37.0,0.33166247903553997,0.282842712474619
2022-02-25,0.08,0.0,0.11,38.0,0.33166247903553997,0.282842712474619
2022-02-28,0.08,0.0,0.11,41.0,0.33166247903553997,0.282842712474619
2022-03-01,0.08,0.0,0.11,42.0,0.33166247903553997,0.282842712474619
2022-03-02,0.08,0.0,0.11,43.0,0.33166247903553997,0.282842712474619
2022-03-03,0.08,0.0,0.11,44.0,0.33166247903553997,0.282842712474619
2022-03-04,0.08,0.0,0.11,45.0,0.33166247903553997,0.282842712474619
2022-03-07,0.08,0.0,0.11,48.0,0.33166247903553997,0.282842712474619
2022-03-08,0.08,0.0,0.11,49.0,0.33166247903553997,0.282842712474619
2022-03-09,0.08,0.0,0.11,50.0,0.33166247903553997,0.282842712474619
2022-03-10,0.08,0.0,0.1141,0.0,0.3377869150810907,0.282842712474619
2022-03-11,0.08,0.0,0.1141,1.0,0.3377869150810907,0.282842712474619
2022-03-14,0.08,0.0,0.1141,4.0,0.3377869150810907,0.282842712474619
2022-03-15,0.08,0.0,0.1141,5.0,0.3377869150810907,0.282842712474619
2022-03-16,0.08,0.0,0.1141,6.0,0.3377869150810907,0.282842712474619
2022-03-17,0.08,0.0,0.1141,7.0,0.3377869150810907,0.282842712474619
2022-03-18,0.33,0.0,0.1141,8.0,0.3377869150810907,0.5744562646538028
2022-03-21,0.33,0.0,0.1141,11.0,0.3377869150810907,0.5744562646538028
2022-03-22,0.33,0.0,0.1141,12.0,0.3377869150810907,0.5744562646538028
2022-03-23,0.33,0.0,0.1141,13.0,0.3377869150810907,0.5744562646538028
2022-03-24,0.33,0.0,0.1141,14.0,0.3377869150810907,0.5744562646538028
2022-03-25,0.33,0.0,0.1141,15.0,0.3377869150810907,0.5744562646538028
2022-03-28,0.33,0.0,0.1141,18.0,0.3377869150810907,0.5744562646538028
2022-03-29,0.33,0.0,0.1141,19.0,0.3377869150810907,0.5744562646538028
2022-03-30,0.33,0.0,0.1141,20.0,0.3377869150810907,0.5744562646538028
2022-03-31,0.33,0.0,0.1141,21.0,0.3377869150810907,0.5744562646538028
2022-04-01,0.33,0.0,0.1141,22.0,0.3377869150810907,0.5744562646538028
2022-04-04,0.33,0.0,0.1141,25.0,0.3377869150810907,0.5744562646538028
