date,realtime_start,value
2025-06-01,2025-07-15,4.2144
2025-07-01,2025-08-15,4.2172
2025-08-01,2025-09-15,4.0172
2025-09-01,2025-10-15,3.9672
2025-10-01,2025-11-17,3.9682
2022-08-01,2025-11-17,1.622
2014-04-01,2025-11-17,0.422
2015-08-01,2025-11-17,0.459
2017-10-01,2025-11-17,0.211
2019-07-01,2025-11-17,0.709
2025-11-01,2025-12-15,3.9693
2025-12-01,2026-01-15,3.8789
2026-01-01,2026-02-16,3.725
2026-02-01,2026-03-16,3.7274
2026-03-01,2026-04-15,3.7289
2026-04-01,2026-05-15,3.73
2026-05-01,2026-06-15,3.7296
